GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,WriterXML,33,3,0,0,9,1,1,1,1,1
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,FakturaCtrl,69,31,6,2,12,10,5,3,1,3
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,Bill,0,235,0,0,0,56,0,28,0,28
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,Naglowek,0,17,0,0,0,9,0,8,0,8
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,JPK,0,58,0,0,0,16,0,8,0,8
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,Podmiot1,0,7,0,0,0,4,0,3,0,3
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,ListFakturaWiersz,27,26,3,1,8,9,4,2,2,2
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,FakturaWiersz,25,21,0,0,10,8,9,1,9,1
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,ReaderCSV,3,171,0,4,2,37,0,7,0,5
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,ReaderXLSX,140,25,4,0,26,9,2,4,0,4
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,FakturaWierszCtrl,69,31,6,2,12,10,5,3,1,3
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,BillList,27,26,3,1,8,9,4,2,2,2
